NO_COMMANDE,REF_PRODUIT,PRIX_UNITAIRE,QUANTITE,REMISE
11030,59,275.00,100,0.25
11031,1,90.00,45,0
11031,13,30.00,80,0
11031,24,22.50,21,0
11031,64,166.25,20,0
11031,71,107.50,16,0
11032,36,95.00,35,0
11032,38,1317.50,25,0
11032,59,275.00,30,0
11033,53,164.00,70,0.1
11033,69,180.00,36,0.1
11034,21,50.00,15,0.1
11034,44,97.25,12,0
11034,61,142.50,6,0
11035,1,90.00,10,0
11035,35,90.00,60,0
11035,42,70.00,30,0
11035,54,37.25,10,0
11036,13,30.00,7,0
11036,59,275.00,30,0
11037,70,75.00,4,0
11038,40,92.00,5,0.2
11038,52,35.00,2,0
11038,71,107.50,30,0
11039,28,228.00,20,0
11039,35,90.00,24,0
11039,49,100.00,60,0
11039,57,97.50,28,0
11040,21,50.00,20,0
11041,2,95.00,30,0.2
11041,63,219.50,30,0
11042,44,97.25,15,0
11042,61,142.50,4,0
11043,11,105.00,10,0
11044,62,246.50,12,0
11045,33,12.50,15,0
11045,51,265.00,24,0
11046,12,190.00,20,0.05
11046,32,160.00,15,0.05
11046,35,90.00,18,0.05
11047,1,90.00,25,0.25
11047,5,106.75,30,0.25
11048,68,62.50,42,0
11049,2,95.00,10,0.2
11049,12,190.00,4,0.2
11050,76,90.00,50,0.1
11051,24,22.50,10,0.2
11052,43,230.00,30,0.2
11052,61,142.50,10,0.2
11053,18,312.50,35,0.2
11053,32,160.00,20,0
11053,64,166.25,25,0.2
11054,33,12.50,10,0
11054,67,70.00,20,0
11055,24,22.50,15,0
11055,25,70.00,15,0
11055,51,265.00,20,0
11055,57,97.50,20,0
11056,7,150.00,40,0
11056,55,120.00,35,0
11056,60,170.00,50,0
11057,70,75.00,3,0
11058,21,50.00,3,0
11058,60,170.00,21,0
11058,61,142.50,4,0
11059,13,30.00,30,0
11059,17,195.00,12,0
11059,60,170.00,35,0
11060,60,170.00,4,0
11060,77,65.00,10,0
11061,60,170.00,15,0
11062,53,164.00,10,0.2
11062,70,75.00,12,0.2
11063,34,70.00,30,0
11063,40,92.00,40,0.1
11063,41,48.25,30,0.1
11064,17,195.00,77,0.1
11064,41,48.25,12,0
11064,53,164.00,25,0.1
11064,55,120.00,4,0.1
11064,68,62.50,55,0
11065,30,129.45,4,0.25
11065,54,37.25,20,0.25
11066,16,87.25,3,0
11066,19,46.00,42,0
11066,34,70.00,35,0
11067,41,48.25,9,0
11068,28,228.00,8,0.15
11068,43,230.00,36,0.15
11068,77,65.00,28,0.15
11069,39,90.00,20,0
11070,1,90.00,40,0.15
11070,2,95.00,20,0.15
11070,16,87.25,30,0.15
11070,31,62.50,20,0
11071,7,150.00,15,0.05
11071,13,30.00,10,0.05
11072,2,95.00,8,0
11072,41,48.25,40,0
11072,50,81.25,22,0
11072,64,166.25,130,0
11073,11,105.00,10,0
11073,24,22.50,20,0
11074,16,87.25,14,0.05
11075,2,95.00,10,0.15
11075,46,60.00,30,0.15
11075,76,90.00,2,0.15
11076,6,125.00,20,0.25
11076,14,116.25,20,0.25
11076,19,46.00,10,0.25
11077,2,95.00,24,0.2
11077,3,50.00,4,0
11077,4,110.00,1,0
11077,6,125.00,1,0.02
11077,7,150.00,1,0.05
11077,8,200.00,2,0.1
11077,10,155.00,1,0
11077,12,190.00,2,0.05
11077,13,30.00,4,0
11077,14,116.25,1,0.03
11077,16,87.25,2,0.03
11077,20,405.00,1,0.04
11077,23,45.00,2,0
11077,32,160.00,1,0
11077,39,90.00,2,0.05
11077,41,48.25,3,0
11077,46,60.00,3,0.02
11077,52,35.00,2,0
11077,55,120.00,2,0
11077,60,170.00,2,0.06
11077,64,166.25,2,0.03
11077,66,85.00,1,0
11077,73,75.00,2,0.01
11077,75,38.75,4,0
11077,77,65.00,2,0
